"id","name","desc"
"population","Population & Infrastructure","L'infrastructure de base nécessaire pour subvenir aux besoins d'une population donnée, depuis les hab-modules orbitaux branlants jusqu'aux mégapoles et tout ce qui se trouve entre les deux."
"farming","Agriculture","L'agriculture est un savoir-faire et une technologie aussi ancienne que l'humanité elle-même. Cette dernière a, depuis des milliers de cycles exploité la richesse des formes biologiques, les a modifier, voir artificialiser pour assurer sa subsistance. Il en a toujours été ainsi et il en sera ainsi tant que les humains seront humains."
"aquaculture","Aquaculture","L'agriculture sur un monde aquatique nécessite un investissement initial important pour la bio-ingénierie des espèces appropriées, mais une fois le processus lancé, les fermes d'algues et les pêcheries peuvent être exploitées par la population sans nécessiter de formation ou d'équipement spécialisé."
"mining","Minage","L'extraction des minerais métalliques et métalloïdes, des substances organiques et des composés volatils nécessite un équipement lourd, une infrastructure spéciale et une main-d'œuvre qualifiée. Le travail difficile attire un certain type de personnes, et une administration qui n'est pas disposée à fermer les yeux de temps à autre peut se retrouver à court de personnel volontaire."
"techmining","Technologie de minage","Le Techmining ou technologie de minage est l'art hétéroclite qui consiste à récupérer des artefacts de valeur dans les ruines d'un Domaine. Elle nécessite des outils spéciaux pour faire face aux dangers uniques et un jugement d'expert pour savoir où chercher des objets uniques. Les plus anciens mineurs sont des personnes étranges, qui s'accrochent à leurs porte-bonheur et refusent de travailler sans avoir recours à des coutumes spécifiques."
"refining","Raffinage","Les fonderies transforment les minerais et les minerais transplutoniques en métaux et en transplutoniques, respectivement. Les tâches les plus dangereuses sont généralement confiées à des robots téléguidés."
"spaceport","Port spaciale","Installations permettant de charger et de décharger des marchandises et d'effectuer des réparations de base sur les vaisseaux. Une colonie sans port spatial est pratiquement inaccessible au commerce interstellaire."
"megaport","Mega-port spaciale","Un vaste port stellaire où les étoiles peuvent toucher la terre. Des portiques d'atterrissage et des réservoirs de carburant blindés sont reliés entre eux par des routes d'accès et des trams de fret à courte distance qui alimentent un ensemble de quartiers d'entrepôts et de terminaux logistiques, rendant ainsi la colonie beaucoup plus accessible."
"lightindustry","Industrie légère","Produit des biens domestiques et de luxe. L'une des rares industries relativement épargnées par l'effondrement en raison de sa nature peu technologique."
"heavyindustry","Industrie Lourde","Infrastructure manufacturière centralisée pour la production d'équipements industriels lourds, de fournitures et d'armes. Également capable de produire des vaisseaux tout juste bon pour l'espace ; une nanoforge peut être installée pour améliorer l'efficacité de la production."
"orbitalworks","Orbital Works","Infrastructure manufacturière centralisée pour la production d'équipements industriels lourds, de fournitures et d'armes. Également capable de produire des vaisseaux tout juste bon pour l'espace ; une nanoforge peut être installée pour améliorer l'efficacité de la production.

Mettre à jour avec un composant orbital facilite davantage la construction des navires, ce qui réduit les défauts de fabrication."
"fuelprod","Production de carburants","Cette installation produit du carburant pour les vaisseaux, un élément vital des civilisations interstellaires. En l'absence de composants issus de cette technologie, la production est un processus lent et laborieux."
"#advfuelprod","Production avancée de carburants","Une gigantesque installation de la technologie Domaine qui produit du carburant pour vaisseaux, l'élément vital de la civilisation interstellaire."
"commerce","Commerce","Règlements, dotations et infrastructures visant à encourager un commerce indépendant et florissant. Réduit considérablement le degré de contrôle direct de l'administration sur la colonie."
"station_base","Station orbitale","Une station spatiale capable de soutenir des flottes amies près de $market et qui doit être réduite avant que des invasions ou des bombardements puissent être tentés.

Plusieurs variantes sont disponibles, les différences se situant généralement au niveau des approches tactiques plutôt qu'au niveau de la force globale."
"orbitalstation","Station orbitale","Station spatiale de faible technicité, dotée d'un blindage lourd et d'une puissance de feu moyenne.

Doit être réduit avant que des invasions ou des bombardements puissent être tentés."
"battlestation","Station de combat - Basse technologie","Une station spatiale, augmentée d'un bastion lourd et de citadelles de défense ponctuelle.

Doit être réduit avant que des invasions ou des bombardements puissent être tentés."
"starfortress","forteresse stellaire","Une station de combat blindée, dotée de drones de défense de classe Merlon et d'un vaste champ de mines.

Doit être réduit avant que des invasions ou des bombardements puissent être tentés."
"orbitalstation_mid","Station orbitale moyenne","Une Station spatiale moyenne, dotée d'une puissance de feu élevée d'un côté et d'une rotation rapide.
Doit être réduit avant que des invasions ou des bombardements puissent être tentés."
"battlestation_mid","Station de combat moyenne","Une station spatiale, complétée par des modules de support pour missiles.

Doit être réduit avant que des invasions ou des bombardements puissent être tentés."
"starfortress_mid","Forteresse stellaire moyenne","Une station de combat blindée, dotée de drones de défense de classe Ravelin et d'un vaste champ de mines.

Doit être réduit avant que des invasions ou des bombardements puissent être tentés."
"orbitalstation_high","Station orbitale supérieure","Une Station spatiale de technologie supérieure, dotée de lourds boucliers rotatifs, de chasseurs et d'une puissance de feu moyenne.

Doit être réduit avant que des invasions ou des bombardements puissent être tentés."
"battlestation_high","Station de combat supérieure","Une station spatiale, augmentée d'une citadelle défensive dotée d'une grande puissance de feu..

Doit être réduit avant que des invasions ou des bombardements puissent être tentés."
"starfortress_high","Forteresse stellaire supérieure","Une station de combat blindée, dotée de drones de défense de classe Gargoyle et de téléporteurs de mines ciblées à longue portée.

Doit être réduit avant que des invasions ou des bombardements puissent être tentés."
"grounddefenses","Défenses terrestres","Un réseau dispersé et semi-autonome de petites installations d'armes cachées qui rend la perspective d'un assaut terrestre direct et même de simples raids extrêmement coûteux pour l'attaquant. Seul un bombardement orbital écrasant ou un filtrage actif massivement disproportionné peut supprimer ces défenses.  "
"heavybatteries","Batteries de défense lourdes","Les batteries blindées sous-marines complètent un réseau dispersé de petites installations d'armes cachées. Les batteries terrestres sont capables d'une puissance de feu vraiment impressionnante, bien qu'elle ne se manifeste qu'en rendant les opérations terrestres plus difficiles, car aucun capitaine de vaisseau n'est assez fou pour s'introduire dans leurs zones de tir."
"patrolhq","Forces de contôle","Les hangars, les baies de maintenance, le centre de commandement/contrôle, les casernes et les opérations logistiques nécessaires à la projection de la force dans un système stellaire. Une fois établies, les patrouilles militarisées chassent les pirates et protègent les convois amis."
"militarybase","Base militaire","Ces installations permettent la projection de forces entre les systèmes stellaires. Toute entreprise militaire de ce type est une opération logistique massive nécessitant la coordination de dizaines, voire de centaines de vaisseaux stellaires et de milliers d'officiers, d'équipages et de soldats."
"highcommand","Haut commandement","Un empire transtellaire n'est possible que grâce à un corps exceptionnel d'officiers et de bureaucrates ayant autorité sur les ressources de systèmes stellaires entiers. Un haut commandement établi permet d'organiser et d'exécuter des opérations militaires dans tout le secteur."
"lionsguard","La garde du Lion","Quartier général de la redoutable garde personnelle de Phillip Andrada dit ""Le Lion de Sindria"". Bénéficiant d'un entraînement exceptionnel et de l'accès aux meilleurs équipements disponibles, la loyauté fanatique de la Garde est maintenue grâce à un système d'avantages et d'incitations qui l'élève et l'isole de l'armée régulière du Diktat."
"planetaryshield","Bouclier planétaire","Une enveloppe de plasma chargé, ionisé de particules virtuelles exotiques, produisant des effets qui perturbent l'efficacité des bombardements à longue distance et même des incursions de petits vaisseaux. Le bouclier planétaire peut être continuellement chargé et contrôlé par une source centrale et constitue un obstacle redoutable à toute forme d'assaut terrestre."
"waystation","Poste de contrôle","Un Dépôt d'approvisionnement et de maintenance pour les flottes interstellaires. Augmente l'accessibilité d'une colonie."
"cryosanctum","Sanctuaire cryogénique","Un énorme caveau en forme de tombeau construit pour stocker ceux qui choisissent de risquer le cryosommeil pour passer cette période de troubles et se réveiller dans ce qui sera vraisemblablement une ère plus civilisée. Les cryopodes eux-mêmes sont de taille insignifiante par rapport à l'infrastructure de soutien souvent redondante, aux systèmes de sécurité automatisés massifs et aux batteries anti-navires, tous logés dans une forteresse-labyrinthe souterraine ramifiée."
"","",""
"cryorevival","Installation de réanimation","Les installations nécessaires à la réanimation et à l'assimilation en masse des dormeurs d'un sanctuaire cryogénique du Domaine Era. Augmente considérablement la croissance de la population."
